type,name,brand,model,year,engine (l),run (km),price
Car,Hyundai Accent,Hyundai,Accent,2016,1.6,117000,18900
Car,Hyundai Grandeur,Hyundai,Grandeur,2021,2.4,29500,52320.9
Car,LADA (VAZ) Priora,LADA (VAZ),Priora,2015,1.6,124500,15200
Car,Land Rover Discovery,Land Rover,Discovery,2014,3,142000,46750
Car,Lexus RX 300,Lexus,RX 300,2018,2,73300,65110
Car,Mercedes 190,Mercedes,190,1991,2,345326,5300
Car,Mercedes C 180,Mercedes,C 180,2022,1.5,23900,81220.9
Car,Mercedes E 300,Mercedes,E 300,2019,2,31000,66130
Car,Nissan Navara,Nissan,Navara,2014,2.5,28000,29000
Car,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2010,2.7,176885,40300
Car,BYD Qin Plus,BYD,Qin Plus,2024,1.5,0,27400
Car,Hyundai Elantra,Hyundai,Elantra,2008,2,320000,12800
Car,Kia Forte,Kia,Forte,2019,2,162544,27800
Car,Kia Sportage,Kia,Sportage,2022,2,38000,55700
Car,Land Rover Range Rover,Land Rover,Range Rover,2014,5,109400,88020.9
Car,Land Rover RR Evoque,Land Rover,RR Evoque,2016,2.2,89700,44200
Car,Lexus LX 450d,Lexus,LX 450d,2016,4.5,114600,127120.9
Car,Mercedes C 240,Mercedes,C 240,1998,2.4,274000,13300
Car,Mercedes S 580 4MATIC,Mercedes,S 580 4MATIC,2022,4,9800,314120.9
Car,Mitsubishi Pajero io,Mitsubishi,Pajero io,2002,2,179000,9400
Car,Porsche Cayenne Turbo,Porsche,Cayenne Turbo,2011,4.8,106300,45520.9
Car,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2014,2.7,134200,50777
Car,BYD Han,BYD,Han,2024,1.5,0,65920.9
Car,Chevrolet Rezzo,Chevrolet,Rezzo,2006,1.6,262600,5800
Car,Hyundai Grandeur,Hyundai,Grandeur,2021,2.5,53500,56100
Car,Kia Rio,Kia,Rio,2005,1.5,398000,8700
Car,LADA (VAZ) 2115,LADA (VAZ),2115,2011,1.5,93000,11300
Car,LADA (VAZ) Niva,LADA (VAZ),Niva,2017,1.7,82900,15700
Car,Land Rover Discovery,Land Rover,Discovery,2014,3,253600,40420.9
Car,Mercedes 190,Mercedes,190,1991,1.8,300000,6300
Car,Skoda Fabia,Skoda,Fabia,2017,1,194900,13800
Car,Toyota RAV4,Toyota,RAV4,2019,2,62000,51000
Car,Chevrolet Malibu,Chevrolet,Malibu,2016,1.5,189000,19300
Car,Hyundai Elantra,Hyundai,Elantra,2018,2,103000,23000
Car,Hyundai Elantra,Hyundai,Elantra,2013,1.8,222000,21000
Car,Jaguar F-Type,Jaguar,F-Type,2018,2,21800,65920.9
Car,Kia Cerato,Kia,Cerato,2010,2,295000,18500
Car,LADA (VAZ) 2107,LADA (VAZ),2107,1991,1.6,200000,3200
Car,Land Rover Range Rover,Land Rover,Range Rover,2024,3,0,386750
Car,Mercedes E 220 d,Mercedes,E 220 d,1998,2.2,457935,69000
Car,Mercedes Sprinter 515,Mercedes,Sprinter 515,2009,2.2,275800,26400
Car,Toyota Camry,Toyota,Camry,2024,2,0,71020.9
Car,Toyota Corolla Cross,Toyota,Corolla Cross,2023,2,0,40420.9
Car,Cadillac SRX,Cadillac,SRX,2005,4.6,182800,8800
Car,Chevrolet Aveo,Chevrolet,Aveo,2012,1.4,164000,10500
Car,Ford F-150,Ford,F-150,2016,2.7,178000,67620.9
Car,Kia Sorento,Kia,Sorento,2015,2,103500,40500
Car,Land Rover Range Rover,Land Rover,Range Rover,2018,3,75000,141100
Car,Mercedes GLC 200 4MATIC,Mercedes,GLC 200 4MATIC,2022,2,0,132220.9
Car,Toyota Tundra,Toyota,Tundra,2022,3.5,9000,116920.9
Car,BMW 320,BMW,320,2014,2,206000,27000
Bus,GAZ 322173,GAZ,322173,1998,2.5,365000,8200
Car,Hyundai Elantra,Hyundai,Elantra,2017,1.6,96000,27000
Car,Kia Cerato,Kia,Cerato,2011,1.6,320000,16800
Car,Land Rover Range Rover,Land Rover,Range Rover,2023,3,0,385520.9
Car,Mercedes C 220 d,Mercedes,C 220 d,1995,2.2,200000,5500
Car,Mercedes G 63 AMG,Mercedes,G 63 AMG,2018,4,24600,339620.9
Car,Mercedes S 350,Mercedes,S 350,2013,3.5,199400,45050
Car,Mitsubishi Pajero,Mitsubishi,Pajero,2007,3,220000,22700
Car,Porsche Panamera,Porsche,Panamera,2017,3,135000,102000
Car,Hyundai Elantra,Hyundai,Elantra,2015,1.8,200000,18000
Car,Kia Ceed,Kia,Ceed,2023,1.6,0,38200
Car,Kia Cerato,Kia,Cerato,2023,2,0,42900
Car,Kia Cerato,Kia,Cerato,2020,2,56000,28600
Car,Kia Optima,Kia,Optima,2014,2,84600,29300
Car,Kia Sportage,Kia,Sportage,2024,2,0,57200
Car,Land Rover RR Evoque,Land Rover,RR Evoque,2012,2,81500,37020.9
Car,Mercedes S 63 AMG,Mercedes,S 63 AMG,2014,5.5,75100,93120.9
Car,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2012,2.7,193540,41540
Car,ZEEKR 007,ZEEKR,7,2024,0,0,77820.9
Car,BMW 528,BMW,528,1998,2.8,317000,14700
Car,Chevrolet Malibu,Chevrolet,Malibu,2017,1.5,196560,20900
Car,Honda CR-V,Honda,CR-V,2020,2.4,35006,53000
Car,Kia Sportage,Kia,Sportage,2017,2,185000,30200
Car,Mercedes 190,Mercedes,190,1992,1.8,121316,4301
Car,Mercedes Sprinter 315,Mercedes,Sprinter 315,2006,2.2,227000,30600
Car,Mercedes Sprinter 318,Mercedes,Sprinter 318,2008,3,346000,47000
Car,Mitsubishi L200,Mitsubishi,L200,2024,2.4,0,73950
Car,Mitsubishi L200,Mitsubishi,L200,2024,2.4,0,64430
Car,Mitsubishi L200,Mitsubishi,L200,2024,2.4,0,61030
Car,Mitsubishi L200,Mitsubishi,L200,2024,2.4,0,58650
Car,BMW 328,BMW,328,2015,2,86000,36550
Car,BMW i3,BMW,i3,2014,0,143000,23500
Car,Kia Forte,Kia,Forte,2021,2,42000,30300
Car,Mercedes GLC 200 4MATIC,Mercedes,GLC 200 4MATIC,2019,2,52000,83300
Car,BMW M8,BMW,M8,2021,4.4,2000,234600
Car,Hyundai Elantra,Hyundai,Elantra,2016,2,233000,21900
Car,Kia Ceed,Kia,Ceed,2007,1.6,290230,13300
Car,Lexus LX 470,Lexus,LX 470,1998,4.7,362000,18700
Car,Mercedes C 180,Mercedes,C 180,1999,1.8,475000,3000
Car,Toyota Camry,Toyota,Camry,2017,2.5,216000,35360
Car,Volkswagen Passat,Volkswagen,Passat,1999,1.8,235000,5100
Car,Chevrolet Cruze,Chevrolet,Cruze,2016,1.4,137000,15800
Car,GAZ 3102,GAZ,3102,1982,2.4,275000,6000
Car,Mercedes C 200,Mercedes,C 200,1998,2,333000,9760
Car,Skoda Fabia,Skoda,Fabia,2005,1.4,288888,8500
Car,Skoda Superb,Skoda,Superb,2019,2,90000,32500
Car,BMW 530,BMW,530,2019,2,104000,50150
Car,BMW 640,BMW,640,2017,3,69500,70550
Car,BMW X5,BMW,X5,2003,4.6,147000,26350
Truck,HOWO Sinotruk,HOWO,Sinotruk,2011,9.5,250000,42500
Car,Hyundai Elantra,Hyundai,Elantra,2020,2,88000,27300
Car,Hyundai Elantra,Hyundai,Elantra,2017,2,120000,22900
Car,Kia Carnival,Kia,Carnival,2016,2.2,199000,37500
Car,Mercedes E 200,Mercedes,E 200,2014,2,201000,40800
Car,Mercedes EQE 350 4MATIC SUV,Mercedes,EQE 350 4MATIC SUV,2023,0,0,101830
Car,Mercedes G 55 AMG,Mercedes,G 55 AMG,2011,5.4,155000,90950
Car,Toyota Corolla,Toyota,Corolla,2023,1.8,4275,36550
Car,Ford Transit,Ford,Transit,2011,2.2,295000,15000
Car,Hyundai Elantra,Hyundai,Elantra,2012,1.8,263611,18500
Car,Hyundai Grandeur,Hyundai,Grandeur,2011,2.4,226000,26200
Car,Infiniti QX70,Infiniti,QX70,2016,3.7,95000,45050
Car,LADA (VAZ) 2106,LADA (VAZ),2106,1988,1.5,160000,2300
Car,LADA (VAZ) 2107,LADA (VAZ),2107,2008,1.6,95000,5300
Car,Nissan Sunny,Nissan,Sunny,2008,1.6,223960,13600
Car,Toyota Highlander,Toyota,Highlander,2024,2.5,0,91018
Car,Voyah Free,Voyah,Free,2024,1.5,0,65450
Car,Audi e-tron,Audi,e-tron,2023,0,0,74630
Car,BMW X5,BMW,X5,2022,2,78000,118150
Car,GAZ 24,GAZ,24,1975,2.4,38683,3600
Car,Hyundai Staria,Hyundai,Staria,2023,2.2,0,89250
Car,Li Auto L6,Li Auto,L6,2024,1.5,0,78198.3
Car,Mitsubishi Pajero io,Mitsubishi,Pajero io,1999,2,400000,6000
Car,Toyota RAV4,Toyota,RAV4,2024,2.5,0,62730
Car,ZEEKR 007,ZEEKR,7,2024,0,0,78030
Car,BMW 430,BMW,430,2018,2,99250,47430
Car,Ford Transit,Ford,Transit,2010,2.4,277000,23800
Car,Hyundai Santa Fe,Hyundai,Santa Fe,2016,2,138800,34900
Car,Kia Rio,Kia,Rio,2005,1.4,170000,10600
Car,Li Auto L9,Li Auto,L9,2024,1.5,0,121550
Car,Li Auto L9,Li Auto,L9,2024,1.5,0,112030
Car,Mercedes E 200,Mercedes,E 200,2023,2,0,159800
Car,Mercedes E 230,Mercedes,E 230,1996,2.3,450000,10500
Car,Mitsubishi Outlander,Mitsubishi,Outlander,2007,3,209000,14900
Car,Toyota RAV4,Toyota,RAV4,2024,2.5,0,66130
Car,Toyota RAV4,Toyota,RAV4,2022,2,22000,55250
Truck,DAF 105 XF,DAF,105 XF,2012,13,925000,59500
Car,Hyundai Santa Fe,Hyundai,Santa Fe,2018,2,175000,48500
Car,Hyundai Santa Fe,Hyundai,Santa Fe,2015,2,76000,34900
Car,Hyundai Sonata,Hyundai,Sonata,2023,2,24000,44700
Car,Mercedes E 250,Mercedes,E 250,2010,1.8,177000,27500
Car,Mercedes E 250,Mercedes,E 250,2014,2.2,101000,41650
Car,Mercedes GLS 450 4MATIC,Mercedes,GLS 450 4MATIC,2023,3,0,253300
Car,Mercedes V 250,Mercedes,V 250,2023,2,0,121890
Car,Nissan Pathfinder,Nissan,Pathfinder,2014,3.5,205000,28900
Car,Smart Forfour,Smart,Forfour,2004,1.3,178000,10500
Car,Volkswagen Golf,Volkswagen,Golf,2002,2,208878,8500
Car,Chevrolet Volt,Chevrolet,Volt,2013,1.4,13000,19600
Car,Ford Fusion (North America),Ford,Fusion (North America),2013,2,165000,19800
Car,Hyundai Grandeur,Hyundai,Grandeur,2013,3,207569,29000
Car,Kia Sportage,Kia,Sportage,2016,2,205000,35300
Car,Li Auto L6,Li Auto,L6,2024,1.5,0,77350
Car,Mercedes C 180,Mercedes,C 180,1997,1.8,350000,9200
Car,Mercedes C 200 d,Mercedes,C 200 d,2001,2,200000,8800
Car,Mercedes GL 500 4MATIC,Mercedes,GL 500 4MATIC,2011,5.5,145000,44030
Car,Mercedes GLE 450 4MATIC,Mercedes,GLE 450 4MATIC,2022,3,0,174250
Car,Nissan Note,Nissan,Note,2016,1.2,37800,16500
Car,BMW 330,BMW,330,2020,2,47000,50830
Car,BMW X5,BMW,X5,2015,2,91000,55930
Car,Chevrolet Lumina,Chevrolet,Lumina,1997,3.1,364000,8500
Car,Hyundai Elantra,Hyundai,Elantra,2016,2,179380,26500
Car,Hyundai Sonata,Hyundai,Sonata,2021,2,65000,45500
Car,Infiniti FX35,Infiniti,FX35,2007,3.5,230000,16300
Car,Kia Optima,Kia,Optima,2014,2,85000,30600
Car,Kia Rio,Kia,Rio,2008,1.4,375000,10500
Car,LADA (VAZ) 2115,LADA (VAZ),2115,2011,1.6,360000,8300
Car,Li Auto L9,Li Auto,L9,2024,1.5,0,116450
Car,Mercedes Sprinter 515,Mercedes,Sprinter 515,2011,2.2,205000,37000
Car,Nissan March,Nissan,March,2016,1.2,41000,14500
Car,Nissan March,Nissan,March,2016,1.2,43500,14300
Car,Porsche Macan S,Porsche,Macan S,2014,3,145000,57630
Car,Radar RD6,Radar,RD6,2023,0,0,64600
Car,Toyota Prius,Toyota,Prius,2008,1.5,180243,11800
Car,Hyundai Santa Fe,Hyundai,Santa Fe,2015,2.4,173000,25900
Car,Jaguar F-Type R,Jaguar,F-Type R,2019,3,37000,85000
Truck,KamAz 54112,KamAz,54112,1992,11,10000,18000
Car,Kia Sorento,Kia,Sorento,2018,2,131000,49500
Car,LADA (VAZ) 2115,LADA (VAZ),2115,2008,1.6,400000,8000
Car,Mercedes C 180,Mercedes,C 180,1999,1.8,327450,8800
Car,Mercedes Vito 111,Mercedes,Vito 111,2010,2.2,265000,25900
Car,Nissan Note,Nissan,Note,2014,1.6,170000,16000
Car,Toyota Prius,Toyota,Prius,2013,1.8,190000,20500
Car,Chevrolet Captiva,Chevrolet,Captiva,2022,1.5,48000,28000
Car,Chevrolet Cobalt,Chevrolet,Cobalt,2024,1.5,0,25000
Car,Hyundai i30,Hyundai,i30,2010,1.6,165953,17000
Car,Mercedes E 240,Mercedes,E 240,2000,2.4,310000,15800
Car,Mercedes GL 350 4MATIC,Mercedes,GL 350 4MATIC,2014,3,275000,51850
Car,MG 5,MG,5,2023,1.5,0,28900
Car,BMW 528,BMW,528,2015,2,174000,30700
Car,LADA (VAZ) Niva,LADA (VAZ),Niva,2019,1.7,75458,16300
Car,Land Rover Range Rover,Land Rover,Range Rover,2012,5,165931,45050
Car,Nissan X-Trail,Nissan,X-Trail,2019,2,48000,36800
Car,Hyundai Elantra,Hyundai,Elantra,2015,1.8,129000,21300
Car,Hyundai Sonata,Hyundai,Sonata,2015,2,140000,26000
Car,Hyundai Sonata,Hyundai,Sonata,2015,2,190000,24000
Car,KAIYI X7,KAIYI,X7,2023,1.6,0,38900
Car,LADA (VAZ) 2106,LADA (VAZ),2106,2005,1.5,94800,4700
Car,LADA (VAZ) 2107,LADA (VAZ),2107,1999,1.6,65800,3550
Car,Mercedes C 180,Mercedes,C 180,1995,1.8,459975,8900
Car,Opel Vectra,Opel,Vectra,1998,1.8,352637,4800
Car,Toyota Corolla,Toyota,Corolla,2005,1.4,185411,13800
Car,Toyota RAV4,Toyota,RAV4,2019,2,62000,49130
Car,Audi Q7,Audi,Q7,2012,3,187000,32900
Car,BMW 328,BMW,328,2014,2,71759,35700
Car,Changan Qiyuan Q05,Changan,Qiyuan Q05,2024,1.5,700,36380
Car,Chevrolet Cruze,Chevrolet,Cruze,2011,1.8,275000,12500
Car,KAIYI X3,KAIYI,X3,2024,1.5,0,31900
Car,Mitsubishi Mirage,Mitsubishi,Mirage,2019,1.2,80000,15500
Car,Volkswagen Passat,Volkswagen,Passat,2017,1.8,126500,26500
Car,BMW 528,BMW,528,2015,2,180000,33300
Car,Ford Transit,Ford,Transit,2010,2.2,178000,19700
Car,Kia Forte,Kia,Forte,2014,1.8,192000,17500
Car,LADA (VAZ) 2107,LADA (VAZ),2107,2008,1.6,99000,4600
Car,Land Rover RR Sport,Land Rover,RR Sport,2008,2.7,368000,25160
Car,Mercedes E 220 d,Mercedes,E 220 d,1999,2.2,400000,13800
Car,MG EHS,MG,EHS,2022,1.5,11400,37900
Car,Toyota Land Cruiser,Toyota,Land Cruiser,2013,4,102000,66130
Car,Toyota Land Cruiser,Toyota,Land Cruiser,2008,4.5,350000,57800
Car,BMW 318,BMW,318,1994,1.8,200760,7500
Car,Chevrolet Nexia,Chevrolet,Nexia,2023,1.5,24000,7500
Car,Ford Transit,Ford,Transit,2007,2.4,168000,25500
Car,Ford Transit,Ford,Transit,2011,2.2,211000,21800
Car,Hyundai Grandeur,Hyundai,Grandeur,2017,2.2,159500,41000
Car,Land Rover Range Rover,Land Rover,Range Rover,2018,3,132000,118150
Car,Mazda CX-5,Mazda,CX-5,2013,2.5,131604,26700
Car,Mercedes E 220,Mercedes,E 220,1994,2.2,390000,9600
Car,Toyota Corolla,Toyota,Corolla,2024,1.8,0,28730
Car,Ford Transit,Ford,Transit,2006,2.4,166000,34500
Car,Hyundai Santa Fe,Hyundai,Santa Fe,2014,2,271979,26500
Car,Hyundai Sonata,Hyundai,Sonata,2017,2.4,102864,26700
Car,Hyundai Sonata,Hyundai,Sonata,2018,2,97000,23500
Car,Iran Khodro Samand,Iran Khodro,Samand,2014,1.6,256000,6200
Car,Kia Sorento,Kia,Sorento,2019,2.2,92000,57900
Car,Kia Sportage,Kia,Sportage,2019,1.6,108000,39900
Car,Land Rover Range Rover,Land Rover,Range Rover,2014,5,87000,118150
Car,Opel Astra,Opel,Astra,1999,1.6,332111,6400
Car,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2013,2.7,173756,40500
Car,Toyota Prius,Toyota,Prius,2014,1.8,127000,24300
Car,Chevrolet Malibu,Chevrolet,Malibu,2017,1.5,89000,20900
Car,DongFeng Aeolus Shine GS,DongFeng,Aeolus Shine GS,2024,1.5,0,30900
Car,Ford Fusion (North America),Ford,Fusion (North America),2018,1.5,97000,21500
Car,Ford Transit,Ford,Transit,2011,2.4,186000,28500
Car,Kia Sorento,Kia,Sorento,2017,2,173000,40700
Car,Kia Sorento,Kia,Sorento,2014,2,176000,32900
Car,Lincoln MKZ,Lincoln,MKZ,2016,2,185000,29500
Car,Mercedes GL 63 AMG,Mercedes,GL 63 AMG,2014,5.5,125000,62730
Car,Renault Megane,Renault,Megane,2007,1.5,360000,9500
Car,ROX (Polar Stone) 01,ROX,(Polar Stone) 01,2024,1.5,0,98600
Car,Toyota Land Cruiser,Toyota,Land Cruiser,2021,3.5,29000,146030
Car,BMW 530,BMW,530,2017,2,51000,52700
Car,Ford Mustang,Ford,Mustang,2017,2.3,120000,48450
Car,Ford Transit,Ford,Transit,2009,2.4,158000,33500
Car,Hyundai Elantra,Hyundai,Elantra,2023,2,6800,39900
Car,LADA (VAZ) 2106,LADA (VAZ),2106,1979,1.6,300000,4950
Car,LADA (VAZ) 2106,LADA (VAZ),2106,1997,1.6,96000,4200
Car,Land Rover RR Velar,Land Rover,RR Velar,2018,2,54000,76330
Car,Mazda CX-5,Mazda,CX-5,2022,2,10500,48000
Car,Mercedes C 180,Mercedes,C 180,1996,1.8,430000,8800
Car,Toyota Camry,Toyota,Camry,2012,2.5,187000,23900
Car,Toyota Camry,Toyota,Camry,2014,2.5,170500,30600
Car,Toyota Prius,Toyota,Prius,2012,1.8,275000,17500
Car,BMW 740,BMW,740,2018,3,83700,81430
Car,Ford Mustang,Ford,Mustang,2018,2.3,100000,40500
Car,Honda CR-V,Honda,CR-V,2023,2,4500,73950
Car,Hyundai Grand Santa Fe,Hyundai,Grand Santa Fe,2014,3.3,204000,33000
Car,LADA (VAZ) 2109,LADA (VAZ),2109,1996,1.5,390000,5200
Car,Mercedes C 180,Mercedes,C 180,1996,1.8,295268,6200
Car,Mercedes CLK 320,Mercedes,CLK 320,2002,3.2,282000,11900
Car,Toyota Camry,Toyota,Camry,2016,2.5,167000,40630
Car,Toyota Land Cruiser,Toyota,Land Cruiser,2022,3.3,14376,131818
Car,Toyota Prius,Toyota,Prius,2008,1.5,350000,11300
Car,Ford Transit,Ford,Transit,1994,2.5,500000,10500
Car,Land Rover Range Rover,Land Rover,Range Rover,2016,3,141000,84830
Car,Mercedes E 280,Mercedes,E 280,2000,2.8,290000,13800
Car,Mercedes G 400,Mercedes,G 400,2006,4,119000,110500
Car,Mercedes GLE 53 AMG 4MATIC Coupe,Mercedes,GLE 53 AMG 4MATIC Coupe,2021,3,36000,158098.3
Car,Nissan Juke,Nissan,Juke,2014,1.6,120000,20800
Car,Toyota Highlander,Toyota,Highlander,2020,3.5,86000,67830
Car,Hyundai Grand Santa Fe,Hyundai,Grand Santa Fe,2014,2.2,176000,37000
Car,Hyundai Grandeur,Hyundai,Grandeur,2018,2.2,105000,40800
Car,Hyundai Sonata,Hyundai,Sonata,2020,1.6,44000,42330
Car,Kia Optima,Kia,Optima,2015,2,142000,27000
Car,Kia Rio,Kia,Rio,2020,1.6,86200,26000
Car,Kia Sportage,Kia,Sportage,2016,2,170000,32900
Car,LADA (VAZ) 21011,LADA (VAZ),21011,1980,1.5,42331,3300
Car,LADA (VAZ) 2104,LADA (VAZ),2104,2008,1.6,87000,6500
Car,Mercedes E 200,Mercedes,E 200,2020,2,35000,84243.5
Car,Mercedes E 320,Mercedes,E 320,2002,3.2,252000,13500
Car,Nissan Note,Nissan,Note,2016,1.2,46000,14400
Car,Toyota Corolla,Toyota,Corolla,2024,1.8,0,34850
Car,Wuling Asta,Wuling,Asta,2024,2,0,39900
Car,Chevrolet Tahoe,Chevrolet,Tahoe,2024,5.3,0,147900
Car,Kia Rio,Kia,Rio,2005,1.4,215000,7950
Car,Land Rover Defender,Land Rover,Defender,2022,3,21000,200600
Car,Opel Astra,Opel,Astra,2000,1.6,368000,7800
Car,Opel Astra,Opel,Astra,2008,1.3,300000,11000
Car,Daewoo Gentra,Daewoo,Gentra,2014,1.5,281000,10800
Car,LADA (VAZ) 21099,LADA (VAZ),21099,2002,1.5,215458,5500
Car,Mercedes C 230,Mercedes,C 230,1999,2.3,305000,9900
Car,Mercedes E 220 d,Mercedes,E 220 d,2015,2.2,199925,36000
Car,Mercedes GLS 450 4MATIC,Mercedes,GLS 450 4MATIC,2020,3,28000,163200
Car,Mitsubishi L200,Mitsubishi,L200,2007,2.5,275000,24500
Car,Subaru Impreza,Subaru,Impreza,2007,2,205000,7200
Car,Toyota Aqua,Toyota,Aqua,2014,1.5,27300,18500
Car,GAZ Volga Siber,GAZ,Volga Siber,2008,2.4,298000,4700
Car,Hyundai i30,Hyundai,i30,2011,1.4,108124,16800
Truck,Isuzu NMR 77 H,Isuzu,NMR 77 H,2024,3,0,54500
Car,Kia Rio,Kia,Rio,2015,1.4,102211,19300
Car,LADA (VAZ) Niva,LADA (VAZ),Niva,2011,1.7,171500,9700
Car,Mercedes E 220 d,Mercedes,E 220 d,1999,2.2,325000,11500
Car,Mercedes G 63 AMG,Mercedes,G 63 AMG,2013,5.5,110000,107100
Car,Opel Astra,Opel,Astra,2006,1.4,328000,10100
Car,Audi A6 allroad,Audi,A6 allroad,2003,2.7,229854,6400
Car,Audi Q7,Audi,Q7,2019,3,70000,90950
Car,Chevrolet Cruze,Chevrolet,Cruze,2015,1.4,124800,13700
Car,Ford Fusion (North America),Ford,Fusion (North America),2016,2,169000,26500
Car,Ford Fusion (North America),Ford,Fusion (North America),2018,1.5,63808,20800
Car,Hyundai ix35,Hyundai,ix35,2013,2,260000,23500
Car,Kia Carens,Kia,Carens,2003,2,220000,6800
Car,Kia K5,Kia,K5,2016,2,201000,27800
Car,Kia Sorento,Kia,Sorento,2015,2,187000,32000
Car,Kia Sportage,Kia,Sportage,2015,2,169500,34200
Car,Lexus NX 200t,Lexus,NX 200t,2016,2,72800,44030
Car,Mercedes E 240,Mercedes,E 240,1998,2.4,271000,12500
Car,Toyota Land Cruiser,Toyota,Land Cruiser,2024,3.3,0,206618
Car,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2014,2.7,107377,52530
Car,Volkswagen Jetta,Volkswagen,Jetta,2014,2,243000,16400
Car,Audi A5,Audi,A5,2018,2,129000,45730
ATV,Can-Am Commander,Can-Am,Commander,2015,1,2000,32300
Car,Hyundai Elantra,Hyundai,Elantra,2011,2,216000,19500
Car,Hyundai Santa Fe,Hyundai,Santa Fe,2013,2,188000,29200
Car,Kia K3,Kia,K3,2014,1.6,180000,22500
Car,Kia Sorento,Kia,Sorento,2014,2,157102,38000
Car,Land Rover RR Sport,Land Rover,RR Sport,2017,3,114600,72250
Car,Mercedes V 250,Mercedes,V 250,2018,2.1,337800,82450
Car,Porsche Cayenne S,Porsche,Cayenne S,2011,4.8,242400,33830
Car,Renault Tondar,Renault,Tondar,2012,1.6,245432,6800
Car,Chevrolet Cruze,Chevrolet,Cruze,2015,1.4,150000,13600
Car,Ford Focus,Ford,Focus,2006,1.6,390000,8800
Car,Hyundai Elantra,Hyundai,Elantra,2024,1.6,11000,39610
Car,Kia Forte,Kia,Forte,2013,1.8,239792,19000
Car,Mercedes AMG GT 53 4MATIC+,Mercedes,AMG GT 53 4MATIC+,2022,3,6000,315350
Car,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2014,2.7,144000,56100
Car,ZX Auto Grand Tiger,ZX Auto,Grand Tiger,2022,2.8,0,42900
Car,ZX Auto Terralord,ZX Auto,Terralord,2022,2.5,0,45900
Car,Audi A6,Audi,A6,2014,2.8,148000,26350
Car,BMW 740,BMW,740,2023,3,9000,255000
Car,Kia Carnival,Kia,Carnival,2023,2.2,90000,70550
Car,Kia Optima,Kia,Optima,2016,2,268043,22500
Car,Kia Sorento,Kia,Sorento,2015,2,135000,38500
Car,Kia Sorento,Kia,Sorento,2016,2,180000,31800
Car,Kia Sorento,Kia,Sorento,2010,2.4,324000,23500
Car,Mercedes E 400,Mercedes,E 400,2014,3,190000,44500
Car,Mercedes Sprinter 315,Mercedes,Sprinter 315,2009,2.7,150000,46500
Car,Nissan Tiida,Nissan,Tiida,2012,1.6,65000,14200
Car,Hyundai i30,Hyundai,i30,2013,1.6,250000,21500
Car,Jeep Wrangler,Jeep,Wrangler,2020,2,34000,60350
Car,Kia Sorento,Kia,Sorento,2017,2,168000,40800
Car,Land Rover RR Evoque,Land Rover,RR Evoque,2017,2,105000,50660
Car,Lexus GS 300,Lexus,GS 300,2008,3,229000,21700
Car,Mercedes E 220,Mercedes,E 220,1994,2.2,400000,8000
Car,Toyota Fortuner,Toyota,Fortuner,2011,2.7,152502,28900
Car,BMW X5,BMW,X5,2005,4.4,453000,16500
Car,GAZ 24-10,GAZ,45589,1990,2.4,580000,5500
Car,Hyundai Sonata,Hyundai,Sonata,2016,2,187700,28900
Car,Kia Sorento,Kia,Sorento,2012,2,164200,28500
Car,Mercedes E 350,Mercedes,E 350,2007,3.5,283000,25900
Car,Porsche Macan,Porsche,Macan,2019,2,42000,76330
Car,BMW 528,BMW,528,2015,2,116000,29900
Car,BMW 528,BMW,528,2013,2,210000,27500
Car,BMW i7,BMW,i7,2023,0,2000,241400
Car,Hyundai Elantra,Hyundai,Elantra,2024,1.5,0,36500
Bike,Kawasaki VN 900 Vulcan,Kawasaki,VN 900 Vulcan,2012,0.9,11104,12500
Car,Kia Sorento,Kia,Sorento,2014,2,174800,35400
Car,Land Rover Range Rover,Land Rover,Range Rover,2016,3,180000,115600
Car,Land Rover Range Rover,Land Rover,Range Rover,2015,3,79000,89930
Car,Mercedes E 240,Mercedes,E 240,2002,2.4,306000,15900
Car,Opel Corsa,Opel,Corsa,2008,1.3,221000,9400
Car,Opel Omega,Opel,Omega,1996,2,403760,3700
Car,BMW 528,BMW,528,2012,2,190000,31300
Car,Ford Tourneo Connect,Ford,Tourneo Connect,2011,1.8,354829,16300
Car,Hyundai Santa Fe,Hyundai,Santa Fe,2012,2,209457,31500
Car,LADA (VAZ) 2115,LADA (VAZ),2115,2004,1.5,201123,5500
Car,BMW 320,BMW,320,2017,2,132228,41650
Car,BMW 528,BMW,528,2015,2,132636,37910
Car,Hyundai HD-45,Hyundai,HD-45,2008,2.6,106873,24500
Car,Mercedes E 350,Mercedes,E 350,2013,3.5,142000,45000
Car,Toyota Corolla,Toyota,Corolla,2013,1.6,233200,26000
Car,Baic A1,Baic,A1,2014,1.5,153000,9800
Car,Chevrolet Malibu,Chevrolet,Malibu,2016,1.8,110000,22800
Car,Hyundai Sonata,Hyundai,Sonata,2018,1.6,69000,29900
Car,Hyundai Sonata,Hyundai,Sonata,2013,2,266095,20400
Car,LADA (VAZ) Niva,LADA (VAZ),Niva,2012,1.7,250000,8500
Truck,MAN TGX 18.440,MAN,TGX 18.440,2011,12,600791,85000
