type,name,brand,model,year,engine (l),run (km),price
Car,Volkswagen Polo,Volkswagen,Polo,2019,1.6,158000,18800
Car,Hyundai Santa Fe,Hyundai,Santa Fe,2009,2.7,201000,22000
Car,Mercedes E 220 d,Mercedes,E 220 d,2022,2.2,33000,81600
Car,Toyota Prius,Toyota,Prius,2013,1.8,300113,16800
Car,Kia Forte,Kia,Forte,2022,2,43200,32500
Car,Kia Sorento,Kia,Sorento,2015,2,131000,38500
Car,Lexus GX 460,Lexus,GX 460,2012,4.6,260000,55250
Car,Mazda CX-7,Mazda,CX-7,2006,2.3,245678,11800
Car,Toyota Land Cruiser,Toyota,Land Cruiser,2012,4,60000,64430
Bike,Yamaha Grizzly 660,Yamaha,Grizzly 660,2012,0.4,15000,4500
Car,Daewoo Gentra,Daewoo,Gentra,2013,1.5,225000,11800
Car,Hyundai Santa Fe,Hyundai,Santa Fe,2009,2.7,192000,20000
Car,Kia Sportage,Kia,Sportage,2011,2,195800,25700
Car,Toyota Corolla,Toyota,Corolla,2023,1.8,15300,30600
Car,Kia Sorento,Kia,Sorento,2018,2,130000,43900
Car,Kia Sorento,Kia,Sorento,2011,2,179000,27500
Car,Land Rover Range Rover,Land Rover,Range Rover,2021,3,33000,149600
Car,Mercedes E 220 d,Mercedes,E 220 d,2017,2,160000,61030
Car,Opel Astra,Opel,Astra,2011,1.3,269000,15500
Car,Toyota Land Cruiser,Toyota,Land Cruiser,2010,4.5,288000,64430
Car,Toyota Land Cruiser,Toyota,Land Cruiser,2012,4,177900,61030
Car,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2008,2.7,187000,33400
Car,BMW 520,BMW,520,2012,2,181400,31450
Car,BMW X5,BMW,X5,2022,3,15400,160650
Car,Kia Optima,Kia,Optima,2012,2,299000,21900
Car,Kia Optima,Kia,Optima,2012,2,290000,16800
Car,Kia Stinger,Kia,Stinger,2019,2,62133,35530
Car,Land Rover Defender,Land Rover,Defender,2022,3,14000,212500
Car,Mercedes E 220 d,Mercedes,E 220 d,2014,2.2,133800,41310
Car,Mercedes E 220 d,Mercedes,E 220 d,2014,2.2,210700,38080
Car,Mercedes GLS 400 4MATIC,Mercedes,GLS 400 4MATIC,2016,3,187000,77350
Car,Mercedes ML 300 4MATIC,Mercedes,ML 300 4MATIC,2009,3,286463,37000
Car,Porsche Panamera 4S,Porsche,Panamera 4S,2013,3.6,85400,55930
Car,Subaru Impreza,Subaru,Impreza,2007,2,204440,10000
Car,BMW 320,BMW,320,2016,2,148000,27000
Car,Kia Forte,Kia,Forte,2019,2,80000,27900
Car,Kia Sorento,Kia,Sorento,2019,2,136000,47200
Car,Land Rover Range Rover,Land Rover,Range Rover,2014,5,122700,97750
Car,Lexus LX 600,Lexus,LX 600,2023,3.5,8800,268600
Car,Mercedes E 200,Mercedes,E 200,2022,2,24400,91460
Car,Mercedes E 200,Mercedes,E 200,2021,2,10400,86530
Car,Opel Astra,Opel,Astra,2004,1.4,181000,10000
Car,Tesla Model Y,Tesla,Model Y,2021,0,66600,55250
Car,Ford Transit,Ford,Transit,1997,2.5,137372,9800
Car,Mercedes E 220 d,Mercedes,E 220 d,2014,2.2,171200,40630
Car,Mercedes ML 350 4MATIC,Mercedes,ML 350 4MATIC,2007,3.5,212433,21800
Car,Porsche Taycan GTS,Porsche,Taycan GTS,2022,0,32400,169998.3
Car,Voyah Dream,Voyah,Dream,2024,1.5,0,101830
Car,Voyah Free,Voyah,Free,2024,1.5,0,74630
Car,BMW 528,BMW,528,2015,2,92500,37400
Car,BMW X5,BMW,X5,2016,2,99000,62900
Car,Hyundai ix35,Hyundai,ix35,2012,2,232000,24000
Car,Kia Cadenza,Kia,Cadenza,2016,2.2,206005,38800
Car,Mercedes E 220 d,Mercedes,E 220 d,2000,2.2,396000,16300
Car,Mercedes S 350 d 4MATIC,Mercedes,S 350 d 4MATIC,2021,3,47900,203620.9
Car,Mercedes V 250,Mercedes,V 250,2023,2.2,0,145820.9
Car,LADA (VAZ) 2107,LADA (VAZ),2107,1992,1.6,760000,5300
Car,Mercedes C 250,Mercedes,C 250,2014,1.8,165000,26500
Car,Hyundai Elantra,Hyundai,Elantra,2020,2,44000,33500
Car,LADA (VAZ) 2115,LADA (VAZ),2115,2012,1.5,11192,5300
Car,BMW 528,BMW,528,2015,2,120000,36550
Car,Ford Transit Connect,Ford,Transit Connect,2011,1.8,119000,15300
Car,Land Rover Range Rover,Land Rover,Range Rover,2014,3,95000,69700
Car,Nissan Maxima,Nissan,Maxima,2006,3,371000,12500
Car,GAZ 3105,GAZ,3105,2005,2.4,123000,3700
Car,Toyota Camry,Toyota,Camry,2014,2.5,253184,26800
Car,BMW 328,BMW,328,2013,2,119000,25800
Car,Hyundai Matrix,Hyundai,Matrix,2007,1.6,230000,10800
Car,Hyundai Sonata,Hyundai,Sonata,2015,2,63000,26700
Car,Mercedes C 180,Mercedes,C 180,1998,1.8,222220,9200
Car,Mercedes C 230,Mercedes,C 230,1999,2.3,169337,13400
Car,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2014,3,232000,65450
Car,Hyundai Santa Fe,Hyundai,Santa Fe,2015,2,167000,33500
Car,Li Auto L7,Li Auto,L7,2024,1.5,0,95030
Car,Mercedes C 180,Mercedes,C 180,1998,1.8,478000,7900
Car,Mercedes C 300,Mercedes,C 300,2019,2,73800,55760
Car,Opel Astra,Opel,Astra,2007,1.3,234765,8900
Car,Opel Astra,Opel,Astra,2016,1.4,175000,23000
Car,Renault Kangoo,Renault,Kangoo,2007,1.5,253500,8700
Car,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2012,2.7,166500,42500
Car,Toyota RAV4,Toyota,RAV4,2022,2,22000,49900
Car,Chevrolet Malibu,Chevrolet,Malibu,2018,1.5,220000,15000
Car,Ford Fusion (North America),Ford,Fusion (North America),2016,1.5,51211,21700
Car,Honda Civic,Honda,Civic,2015,1.8,250000,22000
Car,Hyundai Grandeur,Hyundai,Grandeur,2014,2.4,175200,27700
Car,Hyundai Tucson,Hyundai,Tucson,2014,2,125500,27100
Car,Kia Sorento,Kia,Sorento,2018,2,50000,52500
Car,Land Rover Range Rover,Land Rover,Range Rover,2006,4.2,177000,23000
Car,Mitsubishi Pajero,Mitsubishi,Pajero,2006,3,328546,14300
Car,Nissan Pathfinder,Nissan,Pathfinder,2006,2.5,268574,16800
Car,Toyota Vitz,Toyota,Vitz,2011,1.5,230000,12800
Car,Chery Tiggo (T11),Chery,Tiggo (T11),2009,2,254687,9400
Car,Chevrolet Cruze,Chevrolet,Cruze,2012,1.4,275000,12800
Car,Hyundai Tucson,Hyundai,Tucson,2007,2,234765,13900
Car,Kia K5,Kia,K5,2024,2,0,64800
Car,Kia Sportage,Kia,Sportage,2014,2,146000,27500
Car,LADA (VAZ) 21011,LADA (VAZ),21011,1980,1.3,99766,3200
Car,Mercedes E 240,Mercedes,E 240,2001,2.4,287000,18000
Car,Mercedes S 320,Mercedes,S 320,2001,3.2,275000,9500
Car,Chevrolet Cruze,Chevrolet,Cruze,2015,1.4,250000,13200
Car,Dodge Challenger,Dodge,Challenger,2019,3.6,40000,64600
Car,Khazar SD,Khazar,SD,2022,1.7,172000,13000
Car,LADA (VAZ) 2107,LADA (VAZ),2107,2010,1.6,79000,26000
Car,LADA (VAZ) Niva,LADA (VAZ),Niva,2014,1.7,150599,11300
Car,LADA (VAZ) Priora,LADA (VAZ),Priora,2015,1.6,183325,13200
Car,Mercedes CLS 300,Mercedes,CLS 300,2008,3,215000,14900
Car,Mercedes E 220 d,Mercedes,E 220 d,2011,2.2,205000,25500
Car,Mercedes E 240,Mercedes,E 240,2000,2.4,290000,13600
Car,Volkswagen Polo,Volkswagen,Polo,2022,1.6,26500,29900
Car,BMW X7,BMW,X7,2023,3,0,234950
Car,Chevrolet Cruze,Chevrolet,Cruze,2015,1.4,113443,16500
Car,Honda Accord,Honda,Accord,2023,2,7000,54400
Car,Hyundai Sonata,Hyundai,Sonata,2003,2,329000,6900
Car,Infiniti Q50,Infiniti,Q50,2015,2.2,147000,26500
Car,Kia Sorento,Kia,Sorento,2015,2,164000,37400
Car,LADA (VAZ) 2115,LADA (VAZ),2115,2009,1.6,202000,7500
Car,LADA (VAZ) Priora,LADA (VAZ),Priora,2012,1.6,306754,9300
Car,Volkswagen Jetta,Volkswagen,Jetta,2019,1.4,106000,26500
Car,BMW 520,BMW,520,2014,2,53000,45050
Car,BYD Song Plus DM-İ,BYD,Song Plus DM-İ,2024,0,0,54400
Car,Fiat Albea,Fiat,Albea,2007,1.4,420000,4500
Car,Ford Focus,Ford,Focus,2016,1,120000,16800
Car,Hyundai Sonata,Hyundai,Sonata,2010,2.4,272000,18800
Car,Kia Picanto,Kia,Picanto,2014,1,12000,14400
Car,Kia Sportage,Kia,Sportage,2015,2,240000,27300
Car,Mercedes E 300,Mercedes,E 300,2020,2,63000,99450
Car,Nissan Sunny,Nissan,Sunny,2009,1.6,323000,11400
Car,Porsche Panamera,Porsche,Panamera,2024,2.9,0,238650
Car,Hyundai Avante,Hyundai,Avante,2018,1.6,163000,27000
Car,Hyundai Sonata,Hyundai,Sonata,2003,2,300000,8500
Car,LADA (VAZ) Priora,LADA (VAZ),Priora,2013,1.6,210000,10300
Car,Land Rover RR Sport,Land Rover,RR Sport,2007,3.6,325000,27700
Car,Opel Vectra,Opel,Vectra,1999,1.8,239000,6500
Car,Toyota Camry,Toyota,Camry,2022,2.5,10500,56100
Car,Toyota Corolla,Toyota,Corolla,2020,1.6,72700,32700
Car,BMW X5,BMW,X5,2015,3,120000,66130
Car,Hyundai Avante,Hyundai,Avante,2015,1.6,181000,25400
Car,Hyundai Grand Santa Fe,Hyundai,Grand Santa Fe,2016,2.2,94000,43000
Car,Hyundai Tucson,Hyundai,Tucson,2007,2,170200,16500
Car,Peugeot 3008,Peugeot,3008,2012,1.6,164560,12500
Car,Toyota Camry,Toyota,Camry,2014,2.5,168000,30940
Car,Toyota Corolla,Toyota,Corolla,1996,1.6,122222,2200
Car,Changan Uni-V,Changan,Uni-V,2024,1.5,13000,40000
Car,Khazar SD,Khazar,SD,2020,1.7,133000,12500
Car,Mercedes Vito 116,Mercedes,Vito 116,2010,2.2,220000,25500
Car,Mitsubishi Pajero io,Mitsubishi,Pajero io,1999,2,234765,5800
Car,Toyota Auris,Toyota,Auris,2008,1.4,317000,10000
Car,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2011,2.7,177500,42800
Car,Ford Transit,Ford,Transit,1998,2.5,710000,11500
Car,Hyundai i30,Hyundai,i30,2009,1.6,152800,15900
Car,Hyundai Sonata,Hyundai,Sonata,2009,2,249000,18000
Car,Hyundai Terracan,Hyundai,Terracan,2006,2.9,320000,14200
Car,Kia Sorento,Kia,Sorento,2007,2.5,244000,17300
Car,Mercedes C 180,Mercedes,C 180,2022,1.5,53000,77350
Car,Mercedes E 220 d,Mercedes,E 220 d,2006,2.2,194000,21500
Car,Opel Astra,Opel,Astra,2008,1.4,250000,10900
Car,Hyundai Avante,Hyundai,Avante,2015,1.6,93000,24600
Car,LADA (VAZ) 2107,LADA (VAZ),2107,2002,1.6,222222,4250
Car,Mercedes GL 350 4MATIC,Mercedes,GL 350 4MATIC,2015,3,320000,53550
Car,Mercedes ML 350,Mercedes,ML 350,2006,3.5,150000,20500
Car,BMW X5,BMW,X5,2013,3,203000,41650
Car,Chevrolet Captiva,Chevrolet,Captiva,2008,3.2,234765,11900
Truck,Foton Forland,Foton,Forland,2005,3.3,23454,14000
Car,Hyundai Elantra,Hyundai,Elantra,2012,1.8,138444,18500
Car,Mercedes 190,Mercedes,190,1990,2,142152,3600
Car,Mercedes C 180,Mercedes,C 180,1994,1.8,444444,5500
Car,Ford Mustang,Ford,Mustang,2018,2.3,150000,36500
Car,Hyundai Elantra,Hyundai,Elantra,2016,2,174936,24200
Car,Mercedes C 200,Mercedes,C 200,1996,2,234765,6800
Car,Mercedes E 280,Mercedes,E 280,2006,3,326000,18900
Car,Mitsubishi Lancer,Mitsubishi,Lancer,2008,2,189000,9500
Car,Volkswagen Golf,Volkswagen,Golf,1997,1.8,470000,4700
Car,Volkswagen Touareg,Volkswagen,Touareg,2009,3.6,210000,22500
Car,BMW X5,BMW,X5,2022,3,48000,145443.5
Car,Honda Civic,Honda,Civic,2007,1.3,332000,12300
Car,Hyundai Accent,Hyundai,Accent,2010,1.6,385000,12300
Car,Hyundai Grand Santa Fe,Hyundai,Grand Santa Fe,2014,2.2,160300,35200
Car,Hyundai ix35,Hyundai,ix35,2011,2,199100,23500
Car,Kia K5,Kia,K5,2014,2,69500,28900
Car,LADA (VAZ) 2114,LADA (VAZ),2114,2012,1.6,222019,8400
Car,Land Rover Range Rover,Land Rover,Range Rover,2016,3,157716,102000
Car,Mercedes C 220,Mercedes,C 220,1994,2.2,522500,9600
Car,Mercedes E 200 d,Mercedes,E 200 d,1999,2.2,234765,8300
Car,Mercedes E 220 d,Mercedes,E 220 d,2001,2.2,360000,14500
Car,Mercedes E 320,Mercedes,E 320,2002,3.2,266000,16300
Car,Nissan Sentra,Nissan,Sentra,2020,2,128001,28800
Car,Toyota Camry,Toyota,Camry,2012,2.5,168981,24500
Car,Toyota Land Cruiser,Toyota,Land Cruiser,2014,4,120500,77860
Car,Volkswagen Passat,Volkswagen,Passat,2007,2,250000,11000
Car,BMW 535,BMW,535,2000,3.5,279000,9400
Car,Honda CR-V,Honda,CR-V,2010,2.4,250000,17500
Car,Hyundai Elantra,Hyundai,Elantra,2012,1.8,247269,18200
Car,Hyundai i30,Hyundai,i30,2010,1.4,175895,15450
Car,Hyundai Tucson,Hyundai,Tucson,2015,2,138000,29500
Truck,KamAz 65115,KamAz,65115,2007,11,183055,35500
Car,Kia Cerato,Kia,Cerato,2012,1.6,205000,16500
Car,Mercedes 208 D,Mercedes,208 D,1994,2.3,724205,12800
Car,Mercedes E 220 d,Mercedes,E 220 d,2000,2.2,302000,18500
Car,Mercedes E 220 d,Mercedes,E 220 d,2000,2.2,297744,17500
Car,Mercedes E 300,Mercedes,E 300,2020,2,41500,92650
Car,Mercedes G 63 AMG,Mercedes,G 63 AMG,2019,4,21000,349443.5
Car,Ravon R4,Ravon,R4,2020,1.5,248000,16500
Car,Skoda Rapid,Skoda,Rapid,2021,1.6,47000,29500
Car,Toyota Camry,Toyota,Camry,2024,2,0,70643.5
Car,Toyota RAV4,Toyota,RAV4,2003,2,265431,10800
Car,Volkswagen Touareg,Volkswagen,Touareg,2008,3.6,224000,18900
Car,Chevrolet Cruze,Chevrolet,Cruze,2018,1.4,134000,19900
Car,Ford Transit Connect,Ford,Transit Connect,2011,1.8,205000,12900
Truck,GAZ 52,GAZ,52,1985,6,12000,2499
Car,Hummer H2,Hummer,H2,2006,6,7000,68850
Car,Kia Forte,Kia,Forte,2019,2,74400,28200
Car,LADA (VAZ) 21011,LADA (VAZ),21011,1985,1.3,90446,1899
Car,Land Rover Range Rover,Land Rover,Range Rover,2023,3,1500,339998.3
Car,Mercedes C 180,Mercedes,C 180,1994,1.8,424400,7200
Car,BMW 730,BMW,730,1995,3,298000,4400
Car,Iran Khodro Samand,Iran Khodro,Samand,2007,1.8,300000,5800
Car,Kia Sorento,Kia,Sorento,2004,2.4,431000,10800
Car,Land Rover Range Rover,Land Rover,Range Rover,2016,3,98500,79900
Car,Mazda CX-9,Mazda,CX-9,2023,2.5,3700,78030
Car,Mercedes E 220 d,Mercedes,E 220 d,2014,2.2,238000,32000
Car,Opel Astra,Opel,Astra,1999,1.6,205000,9200
Car,Opel Astra,Opel,Astra,1996,1.6,388000,4500
Car,Toyota Aqua,Toyota,Aqua,2015,1.5,53500,19300
Car,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2008,2.7,230000,32900
Car,BMW 523,BMW,523,1998,2.5,390000,8700
Car,BMW 530,BMW,530,2018,2,49500,50150
Car,Geely Galaxy E8,Geely,Galaxy E8,2024,0,1200,53550
Car,Mercedes S 350,Mercedes,S 350,2007,3.5,235000,23700
Car,Opel Astra,Opel,Astra,1998,1.6,289000,8000
Car,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2005,4,400000,25000
Car,Toyota RAV4,Toyota,RAV4,2022,2.5,15500,55760
Car,Hyundai Elantra,Hyundai,Elantra,2012,1.8,120000,19700
Car,LADA (VAZ) 2107,LADA (VAZ),2107,2005,1.6,356100,6700
Car,Mercedes E 220 d,Mercedes,E 220 d,2001,2.2,571000,15800
Car,Kia Optima,Kia,Optima,2013,2,196000,22000
Car,Li Auto L9,Li Auto,L9,2024,1.5,0,118660
Car,Mercedes E 220,Mercedes,E 220,1994,2.2,374000,11800
Car,Mercedes E 280,Mercedes,E 280,2008,3,303563,24800
Car,Toyota Camry,Toyota,Camry,2024,2,0,69530
Car,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2022,2.8,92000,104550
Car,Avatr 11,Avatr,11,2024,0,0,95540
Car,Avatr 12,Avatr,12,2024,0,0,89250
Car,BMW 530,BMW,530,2018,2,160000,68000
Car,Changan Deepal S7,Changan,Deepal S7,2024,1.5,0,49130
Bike,Ducati Panigale V4 S,Ducati,Panigale V4 S,2019,1.1,8742,40798.3
Car,Hyundai Santa Fe,Hyundai,Santa Fe,2017,2,49017,36800
Car,Mercedes C 240,Mercedes,C 240,1998,2.4,400000,9900
Car,Toyota Aqua,Toyota,Aqua,2015,1.5,39500,19300
Car,Lexus LX 570,Lexus,LX 570,2014,5.7,103000,96730
Car,Mercedes C 220,Mercedes,C 220,1995,2.2,426300,9200
Car,Toyota Prius,Toyota,Prius,2011,1.8,255000,24500
Car,BMW 528,BMW,528,2016,2,101000,37800
Car,BMW X5,BMW,X5,2006,4.8,87000,41650
Car,Kia Optima,Kia,Optima,2011,2,161000,20400
Car,LADA (VAZ) 2106,LADA (VAZ),2106,2005,1.6,78000,5600
Car,LADA (VAZ) 2106,LADA (VAZ),2106,1991,1.6,256321,3300
Car,LADA (VAZ) 2115,LADA (VAZ),2115,2012,1.6,174000,8500
Car,Toyota Aqua,Toyota,Aqua,2015,1.5,32200,19200
Car,Hyundai Azera,Hyundai,Azera,2013,3,202000,27300
Car,Nissan Sunny,Nissan,Sunny,2010,1.6,200068,15000
Car,BMW X5,BMW,X5,2005,4.8,260000,24000
